vacancy name,vacancy link,salary,suite_info,city
Разработчик Python,https://hh.ru/vacancy/38318159?query=Python,нет сведений о заработной плате, ДомКлик,"Москва, Кутузовская"
QA Automation Engineer (Python),https://hh.ru/vacancy/39068627?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Voximplant,"Москва, Тульская и еще 1 "
Python разработчик/программист (Middle Python Developer),https://hh.ru/vacancy/38967646?query=Python,"{'minimum': 160000, 'maximum': 'нет сведений', 'currency': 'руб.'}", ДВ технологии,Москва
Преподаватель Python & Data Science и Machine Learning,https://hh.ru/vacancy/36437887?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Центр компьютерного обучения СПЕЦИАЛИСТ при МГТУ им. Н.Э.Баумана,"Москва, Бауманская"
Разработчик Python/Data Engineer,https://hh.ru/vacancy/39065770?query=Python,нет сведений о заработной плате, Информационное агентство России ТАСС,Москва
Python middle developer,https://hh.ru/vacancy/36449432?query=Python,"{'minimum': 120000, 'maximum': 160000, 'currency': 'руб.'}", BestDoctor,Москва
Программист Python,https://hh.ru/vacancy/38727910?query=Python,нет сведений о заработной плате,АО Троник,"Москва, Лобня"
Программист Python,https://hh.ru/vacancy/38613492?query=Python,нет сведений о заработной плате,ООО НТБ,Москва
Разработчик Python,https://hh.ru/vacancy/36711877?query=Python,нет сведений о заработной плате, ИнПлат,"Москва, Достоевская и еще 2 "
Senior Python Developer,https://hh.ru/vacancy/38650531?query=Python,"{'minimum': 180000, 'maximum': 200000, 'currency': 'руб.'}",ООО Хантфлоу,"Москва, Дмитровская"
Python Developer,https://hh.ru/vacancy/39018762?query=Python,"{'minimum': 'нет сведений', 'maximum': 200000, 'currency': 'руб.'}",ООО Аврора Инфинити,"Москва, Деловой центр"
Data Scientist,https://hh.ru/vacancy/38660521?query=Python,"{'minimum': 120000, 'maximum': 170000, 'currency': 'руб.'}",ООО КИБЕРБОРЕЯ,Москва
Full Stack Python Developer / Программист Python,https://hh.ru/vacancy/38860757?query=Python,нет сведений о заработной плате, ITOB,Москва
Python-разработчик,https://hh.ru/vacancy/38727339?query=Python,нет сведений о заработной плате,ЗАО Фонд стратегического развития энергетики Форсайт,Москва
Программист Python (Django),https://hh.ru/vacancy/39018086?query=Python,нет сведений о заработной плате,ООО ИК СИБИНТЕК,"Москва, Тимирязевская"
Senior Python Developer,https://hh.ru/vacancy/38524129?query=Python,"{'minimum': 'нет сведений', 'maximum': 350000, 'currency': 'руб.'}", Дикая Роза,Москва
