vacancy name,vacancy link,salary,suite_info,city
Senior ML Engineer,https://hh.ru/vacancy/38802418?query=Python,"{'minimum': 3000, 'maximum': 'нет сведений', 'currency': 'USD'}", ecomsolutions,Москва
Backend программист (Python),https://hh.ru/vacancy/38845851?query=Python,нет сведений о заработной плате, Электронная торговая площадка Газпромбанка,Москва
Backend python разработчик,https://hh.ru/vacancy/38799261?query=Python,нет сведений о заработной плате, Билайн,Москва
Code reviewer (Python),https://hh.ru/vacancy/38640656?query=Python,нет сведений о заработной плате, Яндекс,Москва
Разработчик Python,https://hh.ru/vacancy/37053392?query=Python,нет сведений о заработной плате, Электронная торговая площадка Газпромбанка,Москва
Python разработчик в Умные устройства,https://hh.ru/vacancy/38514489?query=Python,нет сведений о заработной плате, Mail.ru Group,"Москва, Аэропорт"
Python разработчик,https://hh.ru/vacancy/39120555?query=Python,нет сведений о заработной плате, Сибур,Москва
Python разработчик,https://hh.ru/vacancy/38547443?query=Python,нет сведений о заработной плате, МойОфис,Москва
Python-разработчик,https://hh.ru/vacancy/39099741?query=Python,нет сведений о заработной плате, UBIC,"Москва, Новокузнецкая и еще 2 "
Python Developer,https://hh.ru/vacancy/39135377?query=Python,нет сведений о заработной плате, Яндекс,Москва
Front-end разработчик (Python/django),https://hh.ru/vacancy/38931639?query=Python,нет сведений о заработной плате, М.Видео-Эльдорадо. Офис,"Москва, Бауманская и еще 2 "
Pyth‎on Developer,https://hh.ru/vacancy/37430732?query=Python,нет сведений о заработной плате, Циан,"Москва, Преображенская площадь"
Python Developer,https://hh.ru/vacancy/37279768?query=Python,нет сведений о заработной плате,ООО Лаборатория визуализации-Сфера,"Москва, Парк Победы"
Программист C++/Python,https://hh.ru/vacancy/37817365?query=Python,"{'minimum': 100000, 'maximum': 180000, 'currency': 'руб.'}",ООО АМИКОН,"Москва, Южная"
Backend-разработчик Python + Django (Middle/Senior),https://hh.ru/vacancy/39025860?query=Python,"{'minimum': 120000, 'maximum': 200000, 'currency': 'руб.'}", Zonesmart,"Москва, Павелецкая"
С/С++/Python Developer,https://hh.ru/vacancy/39121303?query=Python,"{'minimum': 120000, 'maximum': 150000, 'currency': 'руб.'}",ООО Искусственный интеллект,Москва
Python developer / data scientist,https://hh.ru/vacancy/39103246?query=Python,нет сведений о заработной плате, Flocktory,Москва
Python разработчик,https://hh.ru/vacancy/38303553?query=Python,нет сведений о заработной плате, Mediascope,"Москва, Марьина Роща и еще 1 "
Программист Python,https://hh.ru/vacancy/38935769?query=Python,нет сведений о заработной плате,ООО Север,Москва
Backend Python / Django разработчик (удаленная работа),https://hh.ru/vacancy/38991499?query=Python,"{'minimum': 50000, 'maximum': 80000, 'currency': 'руб.'}", JetLend,Москва
Middle Python developer (Remote/ Удаленно),https://hh.ru/vacancy/39097253?query=Python,"{'minimum': 'нет сведений', 'maximum': 150000, 'currency': 'руб.'}"," Агентство 21 век, КЦ",Москва
Разработчик Python,https://hh.ru/vacancy/38318159?query=Python,нет сведений о заработной плате, ДомКлик,"Москва, Кутузовская"
QA Automation Engineer (Python),https://hh.ru/vacancy/39068627?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Voximplant,"Москва, Тульская и еще 1 "
Программист с опытом разработки на Gо/Java/Python удаленно.,https://hh.ru/vacancy/39054631?query=Python,нет сведений о заработной плате, GranSoft,Москва
Python middle developer,https://hh.ru/vacancy/36449432?query=Python,"{'minimum': 120000, 'maximum': 160000, 'currency': 'руб.'}", BestDoctor,Москва
Python-разработчик,https://hh.ru/vacancy/39064220?query=Python,нет сведений о заработной плате, MGCOM,"Москва, Цветной бульвар"
Python разработчик/программист (Middle Python Developer),https://hh.ru/vacancy/38967646?query=Python,"{'minimum': 160000, 'maximum': 'нет сведений', 'currency': 'руб.'}", ДВ технологии,Москва
Senior Python Developer,https://hh.ru/vacancy/38650531?query=Python,"{'minimum': 180000, 'maximum': 200000, 'currency': 'руб.'}",ООО Хантфлоу,"Москва, Дмитровская"
Python senior developer,https://hh.ru/vacancy/37115745?query=Python,"{'minimum': 180000, 'maximum': 300000, 'currency': 'руб.'}", BestDoctor,Москва
Разработчик Python,https://hh.ru/vacancy/38585601?query=Python,нет сведений о заработной плате,ООО ВБЦ,Москва
Программист Python,https://hh.ru/vacancy/38613492?query=Python,нет сведений о заработной плате,ООО НТБ,Москва
Python разработчик,https://hh.ru/vacancy/38959785?query=Python,нет сведений о заработной плате, SOKOLOV,Москва
Разработчик Python/Data Engineer,https://hh.ru/vacancy/39065770?query=Python,нет сведений о заработной плате, Информационное агентство России ТАСС,Москва
Разработчик Python,https://hh.ru/vacancy/36711877?query=Python,нет сведений о заработной плате, ИнПлат,"Москва, Достоевская и еще 2 "
Data Scientist (Computer Vision),https://hh.ru/vacancy/38090271?query=Python,"{'minimum': 90000, 'maximum': 200000, 'currency': 'руб.'}", Tevian (ООО Технологии видеоанализа),Москва
Python developer,https://hh.ru/vacancy/38935014?query=Python,нет сведений о заработной плате, РБК,Москва
Go/Python developer,https://hh.ru/vacancy/39131091?query=Python,нет сведений о заработной плате, Lamoda,Москва
Python-разработчик,https://hh.ru/vacancy/38727339?query=Python,нет сведений о заработной плате,ЗАО Фонд стратегического развития энергетики Форсайт,Москва
Full Stack Python Developer / Программист Python,https://hh.ru/vacancy/38860757?query=Python,нет сведений о заработной плате, ITOB,Москва
